files	rep	named	catalog_s	catalog_rss_kb	catalog_peak_kb	closure_s	modules	submodules	diags
10000	1	2007	2.0200	1234748	1234748	4.5900	24	2	3
20000	1	2974	3.0900	1205692	1205692	0.0500	31	2	107
30000	1	3127	3.8300	1161396	1161396	0.0500	31	2	107
40000	1	5000	4.8300	1032352	1042712	0.0500	31	2	107
50000	1	5030	6.3700	1007432	1058996	0.0500	31	2	107
60000	1	5064	6.3200	1284148	1284148	0.0500	31	2	107
70000	1	5090	6.7600	1166092	1166092	0.0500	31	2	107
80000	1	5132	7.3400	975008	975008	0.0500	31	2	107
90000	1	5302	7.9500	1097772	1097772	0.0500	31	2	107
100000	1	5337	8.4600	966284	966284	0.0500	31	2	107
110000	1	5352	9.1100	1013536	1028960	0.0400	31	2	107
120000	1	5354	9.7000	854980	871740	0.0500	31	2	107
130000	1	5357	10.3500	918804	937012	0.0500	31	2	107
140000	1	5368	11.0900	973164	992844	0.0500	31	2	107
150000	1	5369	11.8200	1192548	1213528	0.0500	31	2	107
160000	1	5371	12.6000	915800	938300	0.0500	31	2	107
165521	1	5371	12.7800	901604	924808	0.0500	31	2	107
10000	2	2007	2.0000	1212500	1252820	4.5400	24	2	3
20000	2	2974	2.9700	1260944	1300172	0.0500	31	2	107
30000	2	3127	3.7800	1078388	1105820	0.0500	31	2	107
40000	2	5000	4.5700	1022832	1136116	0.0500	31	2	107
50000	2	5030	5.3000	1091120	1091120	0.0500	31	2	107
60000	2	5064	5.9400	1045216	1074020	0.0500	31	2	107
70000	2	5090	6.6500	977988	1021624	0.0500	31	2	107
80000	2	5132	7.3600	1148736	1148736	0.0500	31	2	107
90000	2	5302	7.8100	959836	959836	0.0500	31	2	107
100000	2	5337	8.3700	1056224	1056224	0.0500	31	2	107
110000	2	5352	9.1300	957748	973216	0.0400	31	2	107
120000	2	5354	9.6700	774520	791336	0.0500	31	2	107
130000	2	5357	10.3500	939248	957424	0.0500	31	2	107
140000	2	5368	10.9800	940360	960012	0.0500	31	2	107
150000	2	5369	11.7100	910340	931380	0.0400	31	2	107
160000	2	5371	12.4800	1120632	1143064	0.0500	31	2	107
165521	2	5371	12.7400	765096	788292	0.0500	31	2	107
10000	3	2007	2.0200	1077356	1160868	4.6300	24	2	3
20000	3	2974	3.1000	1266504	1266504	0.0500	31	2	107
30000	3	3127	3.8600	1163080	1163080	0.0500	31	2	107
40000	3	5000	4.6200	1145012	1145012	0.0500	31	2	107
50000	3	5030	5.2600	1002708	1002708	0.0500	31	2	107
60000	3	5064	5.9200	877200	891800	0.0500	31	2	107
70000	3	5090	6.6100	1047816	1047816	0.0500	31	2	107
80000	3	5132	7.2700	953776	953776	0.0500	31	2	107
90000	3	5302	7.8500	1039160	1039160	0.0500	31	2	107
100000	3	5337	8.4400	1014980	1014980	0.0500	31	2	107
110000	3	5352	9.0500	940136	955532	0.0500	31	2	107
120000	3	5354	9.6500	826936	879256	0.0500	31	2	107
130000	3	5357	10.3800	961552	979832	0.0500	31	2	107
140000	3	5368	11.0400	765192	784792	0.0500	31	2	107
150000	3	5369	11.8900	958272	979336	0.0500	31	2	107
160000	3	5371	12.4000	985224	1007632	0.0500	31	2	107
165521	3	5371	12.7500	986480	1015832	0.0500	31	2	107
10000	4	2007	2.0600	1231192	1231192	4.6900	24	2	3
20000	4	2974	3.0500	1212772	1212772	0.0500	31	2	107
30000	4	3127	3.8900	1076664	1076664	0.0500	31	2	107
40000	4	5000	4.6400	1201220	1201220	0.0500	31	2	107
50000	4	5030	5.2800	980148	980148	0.0500	31	2	107
60000	4	5064	6.0500	1061160	1061160	0.0500	31	2	107
70000	4	5090	6.6700	954784	954784	0.0500	31	2	107
80000	4	5132	7.4600	871616	871616	0.0500	31	2	107
90000	4	5302	7.8600	995032	995032	0.0500	31	2	107
100000	4	5337	8.4200	1131412	1131412	0.0500	31	2	107
110000	4	5352	9.0700	989760	1005208	0.0500	31	2	107
120000	4	5354	9.6500	939628	956384	0.0500	31	2	107
130000	4	5357	10.2400	802748	820940	0.0500	31	2	107
140000	4	5368	10.9900	798692	818364	0.0500	31	2	107
150000	4	5369	11.6700	857816	878808	0.0500	31	2	107
160000	4	5371	12.3900	892348	914772	0.0500	31	2	107
165521	4	5371	12.6500	996756	1020028	0.0500	31	2	107
10000	5	2007	2.0600	1095008	1151232	4.6500	24	2	3
20000	5	2974	3.1200	1199384	1234332	0.0500	31	2	107
30000	5	3127	3.8600	1009144	1009144	0.0500	31	2	107
40000	5	5000	4.6100	1082004	1082004	0.0500	31	2	107
50000	5	5030	5.3100	969292	988364	0.0500	31	2	107
60000	5	5064	6.1100	1084724	1084724	0.0500	31	2	107
70000	5	5090	6.6500	1002284	1002284	0.0500	31	2	107
80000	5	5132	7.3600	1036272	1036272	0.0500	31	2	107
90000	5	5302	7.8200	901332	936388	0.0500	31	2	107
100000	5	5337	8.3700	963036	963036	0.0500	31	2	107
110000	5	5352	9.0000	932188	947584	0.0500	31	2	107
120000	5	5354	9.8800	1048924	1065692	0.0500	31	2	107
130000	5	5357	10.3500	962648	980844	0.0500	31	2	107
140000	5	5368	10.9700	895968	915748	0.0500	31	2	107
150000	5	5369	11.7300	932388	953380	0.0500	31	2	107
160000	5	5371	12.3500	1088296	1110760	0.0500	31	2	107
165521	5	5371	12.6700	933452	956656	0.0500	31	2	107
