files,reps,catalog_s_mean,catalog_s_median,catalog_s_min,catalog_s_max,throughput_files_s,catalog_rss_mean_mb,catalog_peak_max_mb,closure_s_mean,closure_s_median,closure_s_max,modules_median,diags,named_median
10000,5,3.6860,3.6200,3.5800,3.8600,2713,2501.0,2531.4,3.0540,3.0900,3.1500,24,3,2007
20000,5,5.8860,6.0300,5.5500,6.1100,3398,2427.7,2491.8,0.0460,0.0500,0.0500,31,107,2974
30000,5,7.4140,7.4600,7.0200,7.5900,4046,2314.5,2397.3,0.0400,0.0400,0.0400,31,107,3127
40000,5,9.0300,9.1000,8.6200,9.2500,4430,2228.5,2304.4,0.0460,0.0500,0.0500,31,107,5000
50000,5,10.4640,10.5000,10.1100,10.7000,4778,2238.2,2366.7,0.0420,0.0400,0.0500,31,107,5030
60000,5,11.8220,11.8100,11.3900,12.1400,5075,2057.6,2154.4,0.0480,0.0500,0.0500,31,107,5064
70000,5,13.0140,13.1900,12.6500,13.3000,5379,2014.8,2198.1,0.0440,0.0400,0.0500,31,107,5090
80000,5,14.4160,14.4700,14.0500,14.5900,5549,2080.8,2266.0,0.0440,0.0400,0.0500,31,107,5132
90000,5,15.4460,15.3600,15.2300,15.8800,5827,2088.7,2190.0,0.0460,0.0500,0.0500,31,107,5302
100000,5,16.6280,16.6200,16.2100,17.0000,6014,1904.8,2110.4,0.0480,0.0500,0.0500,31,107,5337
110000,5,17.6620,17.6700,17.3600,17.9400,6228,1852.5,2049.4,0.0480,0.0500,0.0500,31,107,5352
120000,5,18.8580,18.7700,18.6000,19.1300,6363,1970.8,2081.1,0.0460,0.0500,0.0500,31,107,5354
130000,5,20.3780,20.2200,19.9000,21.1200,6379,2051.8,2443.4,0.0440,0.0400,0.0500,31,107,5357
140000,5,21.5240,21.4300,21.3400,21.8600,6504,1854.6,2059.7,0.0440,0.0400,0.0500,31,107,5368
150000,5,22.8280,22.9600,22.4600,23.2100,6571,2016.9,2379.9,0.0460,0.0500,0.0500,31,107,5369
160000,5,24.0400,24.0600,23.7300,24.4400,6656,1768.7,2079.1,0.0480,0.0500,0.0500,31,107,5371
165521,5,24.7380,24.6400,24.1900,25.2700,6691,1646.9,2011.0,0.0460,0.0500,0.0500,31,107,5371
